# NETWORK DEVICE LOG FILE
# Generated sample logs for testing / parsing applications
# Format: TIMESTAMP | SEVERITY | DEVICE_TYPE | DEVICE | IP | EVENT_ID | MESSAGE
2026-09-14 00:02:07 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00001 | Authentication failure for management user
2026-09-14 01:06:41 | WARNING | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00017 | Temperature approaching warning threshold
2026-09-14 01:10:46 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00018 | CPU utilization returned to normal
2026-09-14 01:13:59 | ERROR   | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00019 | BGP neighbor session reset
2026-09-14 01:16:14 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00020 | OSPF adjacency reached FULL state
2026-09-14 01:20:13 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00021 | Memory utilization is within normal threshold
2026-09-14 01:26:31 | ERROR   | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00022 | Interface GigabitEthernet0/3 went DOWN
2026-09-14 01:29:08 | ERROR   | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00023 | Authentication failure for management user
2026-09-14 01:33:47 | WARNING | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00024 | NTP synchronization delay detected
2026-09-14 01:36:08 | INFO    | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00025 | Configuration backup completed successfully
2026-09-14 01:40:55 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00026 | NTP synchronization completed
2026-09-14 01:46:27 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00027 | System health check completed
2026-09-14 01:49:33 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00028 | High packet discard rate detected
2026-09-14 01:52:43 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00029 | BGP neighbor session reset
2026-09-14 01:57:49 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00030 | SNMP polling completed successfully
2026-09-14 02:01:27 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00031 | ONU optical power within normal range
2026-09-14 02:06:48 | WARNING | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00032 | Optical RX power approaching threshold
2026-09-14 02:10:19 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00033 | NTP synchronization completed
2026-09-14 02:12:34 | WARNING | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00034 | Temperature approaching warning threshold
2026-09-14 02:16:07 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00035 | BGP neighbor session established
2026-09-14 02:20:03 | WARNING | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00036 | NTP synchronization delay detected
2026-09-14 02:24:46 | INFO    | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00037 | Configuration backup completed successfully
2026-09-14 02:30:49 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00038 | NTP synchronization completed
2026-09-14 02:34:10 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00039 | Optical RX power approaching threshold
2026-09-14 02:38:27 | WARNING | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00040 | High packet discard rate detected
2026-09-14 02:42:12 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00041 | System health check completed
2026-09-14 02:46:41 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00042 | Memory utilization exceeded 80 percent
2026-09-14 02:50:28 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00043 | Subscriber session established
2026-09-14 02:53:01 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00044 | PON interface 0/1/1 changed state to UP
2026-09-14 02:58:40 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00045 | Cell sector A status changed to ACTIVE
2026-09-14 03:01:04 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00046 | Optical signal level within acceptable range
2026-09-14 03:04:34 | ERROR   | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00047 | Authentication failure for management user
2026-09-14 03:10:36 | INFO    | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00048 | Subscriber session established
2026-09-14 03:13:51 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00049 | ACL policy updated successfully
2026-09-14 03:17:27 | WARNING | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00050 | Memory utilization exceeded 80 percent
2026-09-14 03:20:43 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00051 | Interface GigabitEthernet0/2 changed state to UP
2026-09-14 03:25:51 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00052 | S1 interface packet loss detected
2026-09-14 03:29:08 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00053 | CPU utilization returned to normal
2026-09-14 03:32:55 | WARNING | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00054 | Memory utilization exceeded 80 percent
2026-09-14 03:38:06 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00055 | Interface GigabitEthernet0/3 went DOWN
2026-09-14 03:40:05 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00056 | CPU utilization returned to normal
2026-09-14 03:45:13 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00057 | BGP route update received from peer
2026-09-14 03:49:16 | INFO    | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00058 | BGP neighbor session established
2026-09-14 03:53:44 | INFO    | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00059 | NTP synchronization completed
2026-09-14 03:56:18 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00060 | Interface GigabitEthernet0/2 changed state to UP
2026-09-14 04:02:03 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00061 | Interface GigabitEthernet0/2 changed state to UP
2026-09-14 04:04:37 | WARNING | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00062 | Optical RX power approaching threshold
2026-09-14 04:10:10 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00063 | RRU link established successfully
2026-09-14 04:12:38 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00064 | BGP neighbor session reset
2026-09-14 04:17:07 | WARNING | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00065 | NTP synchronization delay detected
2026-09-14 04:22:05 | ERROR   | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00066 | BGP neighbor session reset
2026-09-14 04:26:20 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00067 | Memory utilization is within normal threshold
2026-09-14 04:30:45 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00068 | Subscriber session established
2026-09-14 04:33:25 | ERROR   | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00069 | BGP neighbor session reset
2026-09-14 04:37:20 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00070 | Interface GigabitEthernet0/1 changed state to UP
2026-09-14 04:42:06 | WARNING | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00071 | High packet discard rate detected
2026-09-14 04:45:08 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00072 | Configuration backup completed successfully
2026-09-14 04:48:23 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00073 | CPU utilization returned to normal
2026-09-14 04:53:53 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00074 | Temperature approaching warning threshold
2026-09-14 04:58:33 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00075 | BGP neighbor session reset
2026-09-14 05:01:59 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00076 | NTP synchronization completed
2026-09-14 05:04:47 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00077 | Optical signal level within acceptable range
2026-09-14 05:08:45 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00078 | Memory utilization is within normal threshold
2026-09-14 05:14:40 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00079 | Optical RX power approaching threshold
2026-09-14 05:17:16 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00080 | Configuration backup completed successfully
2026-09-14 05:21:02 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00081 | OSPF adjacency reached FULL state
2026-09-14 05:26:16 | ERROR   | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00082 | Authentication failure for management user
2026-09-14 05:30:27 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00083 | RRU link established successfully
2026-09-14 05:34:02 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00084 | NTP synchronization delay detected
2026-09-14 05:38:09 | WARNING | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00085 | WAN interface utilization exceeded 80 percent
2026-09-14 05:40:57 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00086 | Memory utilization is within normal threshold
2026-09-14 05:46:15 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00087 | DHCP lease assigned successfully
2026-09-14 05:49:39 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00088 | Subscriber session established
2026-09-14 05:52:56 | WARNING | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00089 | WAN interface utilization exceeded 80 percent
2026-09-14 05:57:51 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00090 | PON interface 0/1/1 changed state to UP
2026-09-14 06:01:55 | WARNING | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00091 | Interface error rate increased
2026-09-14 06:05:22 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00092 | Subscriber session established
2026-09-14 06:08:01 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00093 | System health check completed
2026-09-14 06:12:49 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00094 | DHCP lease assigned successfully
2026-09-14 06:18:32 | ERROR   | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00095 | BGP neighbor session reset
2026-09-14 06:22:21 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00096 | SNMP polling completed successfully
2026-09-14 06:25:11 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00097 | Interface GigabitEthernet0/2 changed state to UP
2026-09-14 06:28:38 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00098 | DHCP lease assigned successfully
2026-09-14 06:33:27 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00099 | System health check completed
2026-09-14 06:36:16 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00100 | Packet loss detected on uplink
2026-09-14 06:42:59 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00101 | DHCP lease assigned successfully
2026-09-14 06:46:58 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00102 | Temperature approaching warning threshold
2026-09-14 06:49:42 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00103 | Authentication failure for management user
2026-09-14 06:54:19 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00104 | OSPF adjacency reached FULL state
2026-09-14 06:57:35 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00105 | Memory utilization is within normal threshold
2026-09-14 07:01:43 | WARNING | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00106 | Temperature approaching warning threshold
2026-09-14 07:05:35 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00107 | BGP neighbor session established
2026-09-14 07:09:50 | WARNING | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00108 | Memory utilization exceeded 80 percent
2026-09-14 07:13:28 | WARNING | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00109 | Optical RX power approaching threshold
2026-09-14 07:18:10 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00110 | BGP neighbor session established
2026-09-14 07:22:39 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00111 | Configuration backup completed successfully
2026-09-14 07:24:43 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00112 | Subscriber session established
2026-09-14 07:28:09 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00113 | Interface GigabitEthernet0/2 changed state to UP
2026-09-14 07:33:39 | WARNING | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00114 | Memory utilization exceeded 80 percent
2026-09-14 07:38:36 | ERROR   | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00115 | Packet loss detected on uplink
2026-09-14 07:41:25 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00116 | NTP synchronization completed
2026-09-14 07:44:57 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00117 | Optical signal loss detected on PON interface
2026-09-14 07:48:51 | INFO    | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00118 | Interface GigabitEthernet0/2 changed state to UP
2026-09-14 07:54:15 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00119 | Radio unit temperature within normal range
2026-09-14 07:58:33 | ERROR   | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00120 | Optical signal loss detected on PON interface
2026-09-14 08:01:39 | WARNING | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00121 | High packet discard rate detected
2026-09-14 08:04:47 | WARNING | DEVICE_TYPE=Switch | DEVICE=SW-AHM-CORE-01    | IP=10.20.0.2     | EVENT_ID=EVT-00122 | Memory utilization exceeded 80 percent
2026-09-14 08:09:48 | ERROR   | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00123 | Interface GigabitEthernet0/3 went DOWN
2026-09-14 08:14:31 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00124 | Optical signal level within acceptable range
2026-09-14 08:18:18 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00125 | Optical signal level within acceptable range
2026-09-14 08:22:05 | INFO    | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00126 | ONU registration completed successfully
2026-09-14 08:26:13 | WARNING | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00127 | CPU utilization exceeded 75 percent
2026-09-14 08:30:29 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00128 | Interface GigabitEthernet0/2 changed state to UP
2026-09-14 08:33:24 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00129 | Optical signal loss detected on PON interface
2026-09-14 08:37:00 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00130 | BGP neighbor session established
2026-09-14 08:41:54 | WARNING | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00131 | High packet discard rate detected
2026-09-14 08:46:51 | WARNING | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-002       | IP=10.20.2.12    | EVENT_ID=EVT-00132 | PON interface utilization exceeded 70 percent
2026-09-14 08:49:01 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00133 | OSPF adjacency reached FULL state
2026-09-14 08:53:46 | WARNING | DEVICE_TYPE=OLT    | DEVICE=OLT-AHM-001       | IP=10.20.2.11    | EVENT_ID=EVT-00134 | Memory utilization exceeded 80 percent
2026-09-14 08:58:34 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00135 | System health check completed
2026-09-14 09:02:01 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00136 | Interface GigabitEthernet0/3 went DOWN
2026-09-14 09:05:11 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00137 | Optical signal level within acceptable range
2026-09-14 09:08:29 | INFO    | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-002      | IP=10.20.3.12    | EVENT_ID=EVT-00138 | OSPF adjacency reached FULL state
2026-09-14 09:13:17 | INFO    | DEVICE_TYPE=Router | DEVICE=RTR-AHM-CORE-01   | IP=10.20.0.1     | EVENT_ID=EVT-00139 | Optical signal level within acceptable range
2026-09-14 09:17:01 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00140 | DHCP lease assigned successfully
2026-09-14 09:20:49 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00141 | RRU link established successfully
2026-09-14 09:24:53 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00142 | RRU link established successfully
2026-09-14 09:29:42 | WARNING | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00143 | NTP synchronization delay detected
2026-09-14 09:33:44 | ERROR   | DEVICE_TYPE=CPAN   | DEVICE=CPAN-AHM-001      | IP=10.20.3.11    | EVENT_ID=EVT-00144 | Optical signal loss detected on PON interface
2026-09-14 09:37:10 | ERROR   | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-002       | IP=10.20.1.12    | EVENT_ID=EVT-00145 | Optical signal loss detected on PON interface
2026-09-14 09:41:06 | INFO    | DEVICE_TYPE=BTS    | DEVICE=BTS-AHM-001       | IP=10.20.1.11    | EVENT_ID=EVT-00146 | BGP neighbor session established
