# COMBINED NETWORK DEVICE LOG FILE
# 600 network device log records
# Contains BTS, OLT, CPAN, ROUTER, SWITCH and FIREWALL logs
2026-09-14 00:00:17 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00001 | RRU communication link failed
2026-09-14 03:16:22 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00033 | RRU link established successfully
2026-09-14 03:18:27 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00034 | RRU communication link failed
2026-09-14 03:24:34 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00035 | RRU communication link failed
2026-09-14 03:30:20 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00036 | S1 interface connection lost
2026-09-14 03:36:48 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00037 | High PRB utilization detected
2026-09-14 03:45:22 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00038 | S1 interface connection established
2026-09-14 03:51:04 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00039 | S1 interface connection established
2026-09-14 03:56:42 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00040 | RRU link established successfully
2026-09-14 04:00:48 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00041 | RRU communication link failed
2026-09-14 04:10:19 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00042 | Radio unit temperature approaching threshold
2026-09-14 04:15:23 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00043 | High PRB utilization detected
2026-09-14 04:22:07 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00044 | S1 interface connection established
2026-09-14 04:28:24 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00045 | Cell sector A status changed to ACTIVE
2026-09-14 04:31:29 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00046 | Cell sector A status changed to ACTIVE
2026-09-14 04:38:28 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00047 | S1 interface connection lost
2026-09-14 04:44:27 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00048 | S1 interface connection established
2026-09-14 04:52:20 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00049 | S1 interface connection established
2026-09-14 04:56:32 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00050 | High PRB utilization detected
2026-09-14 05:01:57 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00051 | High PRB utilization detected
2026-09-14 05:06:17 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00052 | Baseband processing module initialized
2026-09-14 05:13:56 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00053 | Radio unit temperature approaching threshold
2026-09-14 05:21:02 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00054 | RRU link established successfully
2026-09-14 05:25:32 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00055 | Cell sector A status changed to ACTIVE
2026-09-14 05:31:17 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00056 | Baseband processing module initialized
2026-09-14 05:36:38 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00057 | RRU link established successfully
2026-09-14 05:44:35 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00058 | S1 interface connection established
2026-09-14 05:52:08 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00059 | S1 interface connection lost
2026-09-14 05:57:49 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00060 | Radio unit temperature approaching threshold
2026-09-14 06:04:55 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00061 | High PRB utilization detected
2026-09-14 06:09:58 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00062 | S1 interface connection established
2026-09-14 06:16:40 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00063 | S1 interface connection lost
2026-09-14 06:20:44 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00064 | RRU link established successfully
2026-09-14 06:24:23 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00065 | High PRB utilization detected
2026-09-14 06:33:20 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00066 | Baseband processing module initialized
2026-09-14 06:39:21 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00067 | S1 interface connection established
2026-09-14 06:45:51 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00068 | RRU communication link failed
2026-09-14 06:51:32 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00069 | S1 interface connection established
2026-09-14 06:58:24 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00070 | RRU link established successfully
2026-09-14 07:02:07 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00071 | High PRB utilization detected
2026-09-14 07:06:24 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00072 | RRU communication link failed
2026-09-14 07:14:06 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00073 | High PRB utilization detected
2026-09-14 07:19:41 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00074 | Radio unit temperature approaching threshold
2026-09-14 07:27:36 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00075 | High PRB utilization detected
2026-09-14 07:31:44 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00076 | Radio unit temperature approaching threshold
2026-09-14 07:38:03 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00077 | RRU link established successfully
2026-09-14 07:42:27 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00078 | S1 interface connection lost
2026-09-14 07:49:30 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00079 | Cell sector A status changed to ACTIVE
2026-09-14 07:57:34 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00080 | High PRB utilization detected
2026-09-14 08:02:57 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00081 | Cell sector A status changed to ACTIVE
2026-09-14 08:09:32 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00082 | Radio unit temperature approaching threshold
2026-09-14 08:16:57 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00083 | High PRB utilization detected
2026-09-14 08:21:14 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00084 | RRU link established successfully
2026-09-14 08:26:18 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00085 | RRU communication link failed
2026-09-14 08:32:27 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00086 | Cell sector A status changed to ACTIVE
2026-09-14 08:39:43 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00087 | Baseband processing module initialized
2026-09-14 08:42:17 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00088 | S1 interface connection established
2026-09-14 08:52:53 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00089 | Radio unit temperature approaching threshold
2026-09-14 08:57:55 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00090 | Baseband processing module initialized
2026-09-14 09:02:33 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00091 | RRU link established successfully
2026-09-14 09:09:39 | WARNING | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-003        | IP=10.20.1.13    | EVENT_ID=EVT-00092 | Radio unit temperature approaching threshold
2026-09-14 09:13:33 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00093 | RRU communication link failed
2026-09-14 09:21:51 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00094 | RRU link established successfully
2026-09-14 09:24:36 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00095 | RRU communication link failed
2026-09-14 09:34:22 | ERROR   | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00096 | S1 interface connection lost
2026-09-14 09:37:12 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00097 | Baseband processing module initialized
2026-09-14 09:42:15 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00098 | RRU link established successfully
2026-09-14 09:51:59 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-001        | IP=10.20.1.11    | EVENT_ID=EVT-00099 | Cell sector A status changed to ACTIVE
2026-09-14 09:57:41 | INFO    | DEVICE_TYPE=BTS      | DEVICE=BTS-AHM-002        | IP=10.20.1.12    | EVENT_ID=EVT-00100 | Cell sector A status changed to ACTIVE
2026-09-14 00:00:59 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00001 | Optical signal loss detected on PON interface
2026-09-14 00:08:59 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00002 | PON utilization exceeded 70 percent
2026-09-14 00:12:18 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00003 | Optical RX power approaching threshold
2026-09-14 00:19:32 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00004 | Optical RX power approaching threshold
2026-09-14 00:25:29 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00005 | Optical signal loss detected on PON interface
2026-09-14 00:31:32 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00006 | Optical signal loss detected on PON interface
2026-09-14 00:39:35 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00007 | Optical signal loss detected on PON interface
2026-09-14 00:42:57 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00008 | ONU registration completed successfully
2026-09-14 00:50:08 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00009 | PON interface 0/1/1 changed state to UP
2026-09-14 00:55:07 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00010 | Optical RX power approaching threshold
2026-09-14 01:04:39 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00011 | ONU registration timeout
2026-09-14 01:10:22 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00012 | Optical RX power approaching threshold
2026-09-14 01:13:24 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00013 | PON interface 0/1/1 changed state to UP
2026-09-14 01:22:53 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00014 | Optical RX power approaching threshold
2026-09-14 01:24:49 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00015 | Configuration backup completed
2026-09-14 01:33:11 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00016 | ONU optical power within normal range
2026-09-14 01:39:08 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00017 | ONU optical power within normal range
2026-09-14 01:42:21 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00018 | PON interface 0/1/1 changed state to UP
2026-09-14 01:49:14 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00019 | Optical signal loss detected on PON interface
2026-09-14 01:55:42 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00020 | ONU registration completed successfully
2026-09-14 02:00:09 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00021 | ONU registration timeout
2026-09-14 02:06:08 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00022 | ONU registration completed successfully
2026-09-14 02:14:28 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00023 | Configuration backup completed
2026-09-14 02:19:50 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00024 | Optical RX power approaching threshold
2026-09-14 02:25:05 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00025 | ONU registration completed successfully
2026-09-14 02:32:20 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00026 | Optical signal loss detected on PON interface
2026-09-14 02:38:50 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00027 | ONU registration completed successfully
2026-09-14 02:42:35 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00028 | PON interface 0/1/1 changed state to UP
2026-09-14 02:49:18 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00029 | ONU optical power within normal range
2026-09-14 02:58:50 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00030 | PON utilization exceeded 70 percent
2026-09-14 03:03:35 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00031 | Optical RX power approaching threshold
2026-09-14 03:07:54 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00032 | ONU registration completed successfully
2026-09-14 03:16:18 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00033 | Optical RX power approaching threshold
2026-09-14 03:18:51 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00034 | ONU registration completed successfully
2026-09-14 03:26:05 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00035 | ONU optical power within normal range
2026-09-14 03:34:20 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00036 | PON interface 0/1/1 changed state to UP
2026-09-14 03:40:47 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00037 | Configuration backup completed
2026-09-14 03:45:40 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00038 | PON interface 0/1/1 changed state to UP
2026-09-14 03:49:13 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00039 | Optical RX power approaching threshold
2026-09-14 03:57:49 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00040 | PON utilization exceeded 70 percent
2026-09-14 04:04:34 | ERROR   | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00041 | Optical signal loss detected on PON interface
2026-09-14 04:06:16 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00042 | ONU registration completed successfully
2026-09-14 04:13:49 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00043 | Optical RX power approaching threshold
2026-09-14 04:19:06 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00044 | PON interface 0/1/1 changed state to UP
2026-09-14 04:26:07 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-001        | IP=10.20.2.11    | EVENT_ID=EVT-00045 | Optical RX power approaching threshold
2026-09-14 04:30:58 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00046 | Optical RX power approaching threshold
2026-09-14 04:37:16 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00047 | PON interface 0/1/1 changed state to UP
2026-09-14 04:46:16 | INFO    | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-003        | IP=10.20.2.13    | EVENT_ID=EVT-00048 | PON interface 0/1/1 changed state to UP
2026-09-14 04:52:07 | WARNING | DEVICE_TYPE=OLT      | DEVICE=OLT-AHM-002        | IP=10.20.2.12    | EVENT_ID=EVT-00049 | PON utilization exceeded 70 percent
